adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.77,356.66,346.1,23-JUL-19,17-JUL-19,355.65,355.6,355.55,355.5,355.45,513.0,126.0,695.0,414.0,1076.0,9.6,0.0,27-DEC-18,02-AUG-19,10262.81,Mahindra & Mahindra Financial Services Limited,Listed,3.233944881615926,28/11/2019 15:23:11,1574934791.535208,362.0,347.15,657221.0,34.25,15-JUL-19,5.0,2.0,484.0,,False,INE774D01024,355.7,284.85,N,,,347.15,2.77,346.1,No Band,311.5,380.7,ANNUAL GENERAL MEETING/DIVIDEND - RS 4 PER SHARE/ SPECIAL DIVIDEND - RS 2.5 PER SHARE,1918986.0,,28-Nov-2019 15:00:00,7.77,356.05,356.1,356.15,356.25,356.3,180.0,377.0,144.0,253.0,570.0,EQ,,M&amp;MFIN,163265.0,153036.0,7545.99,2115739.0,7.77
,12.77,356.62,346.1,23-JUL-19,17-JUL-19,354.95,354.7,354.65,354.6,354.55,87.0,262.0,116.0,7.0,215.0,8.85,0.0,27-DEC-18,02-AUG-19,10262.81,Mahindra & Mahindra Financial Services Limited,Listed,1.2613870603098718,28/11/2019 15:26:55,1574935015.134044,362.0,347.15,657221.0,34.25,15-JUL-19,5.0,2.0,484.0,,False,INE774D01024,354.95,284.85,N,,,347.15,2.56,346.1,No Band,311.5,380.7,ANNUAL GENERAL MEETING/DIVIDEND - RS 4 PER SHARE/ SPECIAL DIVIDEND - RS 2.5 PER SHARE,1918986.0,,28-Nov-2019 15:00:00,7.77,355.0,355.05,355.2,355.25,355.3,1099.0,970.0,287.0,126.0,531.0,EQ,,M&amp;MFIN,152287.0,148493.0,7738.21,2169875.0,7.77
,12.77,356.62,346.1,23-JUL-19,17-JUL-19,354.95,354.7,354.65,354.6,354.55,87.0,262.0,116.0,7.0,215.0,8.85,0.0,27-DEC-18,02-AUG-19,10262.81,Mahindra & Mahindra Financial Services Limited,Listed,1.2613870603098718,28/11/2019 15:27:10,1574935030.559805,362.0,347.15,657221.0,34.25,15-JUL-19,5.0,2.0,484.0,,False,INE774D01024,354.95,284.85,N,,,347.15,2.56,346.1,No Band,311.5,380.7,ANNUAL GENERAL MEETING/DIVIDEND - RS 4 PER SHARE/ SPECIAL DIVIDEND - RS 2.5 PER SHARE,1918986.0,,28-Nov-2019 15:00:00,7.77,355.0,355.05,355.2,355.25,355.3,1099.0,970.0,287.0,126.0,531.0,EQ,,M&amp;MFIN,152287.0,148493.0,7738.21,2169875.0,7.77
,12.77,356.61,346.1,23-JUL-19,17-JUL-19,357.15,356.05,356.0,355.8,355.65,180.0,19.0,596.0,46.0,2.0,11.05,0.0,27-DEC-18,02-AUG-19,10262.81,Mahindra & Mahindra Financial Services Limited,Listed,7.627977496708297,28/11/2019 15:33:29,1574935409.917931,362.0,347.15,657221.0,34.25,15-JUL-19,5.0,2.0,484.0,,False,INE774D01024,357.15,284.85,N,,,347.15,3.19,346.1,No Band,311.5,380.7,ANNUAL GENERAL MEETING/DIVIDEND - RS 4 PER SHARE/ SPECIAL DIVIDEND - RS 2.5 PER SHARE,1918986.0,,28-Nov-2019 15:00:00,7.77,357.3,357.5,357.8,357.95,358.0,38.0,510.0,250.0,1.0,1017.0,EQ,,M&amp;MFIN,134874.0,115756.0,7944.95,2227911.0,7.77
,12.96,356.62,346.1,23-JUL-19,17-JUL-19,356.1,,,,,2248.0,,,,,11.5,356.1,27-DEC-18,02-AUG-19,10559.33,Mahindra & Mahindra Financial Services Limited,Listed,100.0,29/11/2019 09:01:30,1574998290.376992,362.0,347.15,700759.0,31.38,15-JUL-19,5.0,2.0,484.0,,False,INE774D01024,357.6,284.85,N,,,347.15,3.32,346.1,No Band,320.5,391.7,ANNUAL GENERAL MEETING/DIVIDEND - RS 4 PER SHARE/ SPECIAL DIVIDEND - RS 2.5 PER SHARE,2233462.0,,28-Nov-2019 00:00:00,7.96,,,,,,,,,,,EQ,,M&amp;MFIN,2248.0,,7964.97,2233462.0,7.96
,12.96,356.62,346.1,23-JUL-19,17-JUL-19,356.1,,,,,2248.0,,,,,11.5,356.1,27-DEC-18,02-AUG-19,10559.33,Mahindra & Mahindra Financial Services Limited,Listed,100.0,29/11/2019 09:04:31,1574998471.392423,362.0,347.15,700759.0,31.38,15-JUL-19,5.0,2.0,484.0,,False,INE774D01024,357.6,284.85,N,,,347.15,3.32,346.1,No Band,320.5,391.7,ANNUAL GENERAL MEETING/DIVIDEND - RS 4 PER SHARE/ SPECIAL DIVIDEND - RS 2.5 PER SHARE,2233462.0,,28-Nov-2019 00:00:00,7.96,,,,,,,,,,,EQ,,M&amp;MFIN,2248.0,,7964.97,2233462.0,7.96
,12.96,356.62,346.1,23-JUL-19,17-JUL-19,356.1,,,,,2248.0,,,,,11.5,356.1,27-DEC-18,02-AUG-19,10559.33,Mahindra & Mahindra Financial Services Limited,Listed,100.0,29/11/2019 09:08:40,1574998720.523108,362.0,347.15,700759.0,31.38,15-JUL-19,5.0,2.0,484.0,,False,INE774D01024,357.6,284.85,N,,,347.15,3.32,346.1,No Band,320.5,391.7,ANNUAL GENERAL MEETING/DIVIDEND - RS 4 PER SHARE/ SPECIAL DIVIDEND - RS 2.5 PER SHARE,2233462.0,,28-Nov-2019 00:00:00,7.96,,,,,,,,,,,EQ,,M&amp;MFIN,2248.0,,7964.97,2233462.0,7.96
,12.96,356.62,346.1,23-JUL-19,17-JUL-19,356.1,,,,,2248.0,,,,,11.5,356.1,27-DEC-18,02-AUG-19,10559.33,Mahindra & Mahindra Financial Services Limited,Listed,100.0,29/11/2019 09:11:57,1574998917.714378,362.0,347.15,700759.0,31.38,15-JUL-19,5.0,2.0,484.0,,False,INE774D01024,357.6,284.85,N,,,347.15,3.32,346.1,No Band,320.5,391.7,ANNUAL GENERAL MEETING/DIVIDEND - RS 4 PER SHARE/ SPECIAL DIVIDEND - RS 2.5 PER SHARE,2233462.0,,28-Nov-2019 00:00:00,7.96,,,,,,,,,,,EQ,,M&amp;MFIN,2248.0,,7964.97,2233462.0,7.96
,12.96,356.62,346.1,23-JUL-19,17-JUL-19,356.1,,,,,2248.0,,,,,11.5,356.1,27-DEC-18,02-AUG-19,10559.33,Mahindra & Mahindra Financial Services Limited,Listed,100.0,29/11/2019 09:12:51,1574998971.840102,362.0,347.15,700759.0,31.38,15-JUL-19,5.0,2.0,484.0,,False,INE774D01024,357.6,284.85,N,,,347.15,3.32,346.1,No Band,320.5,391.7,ANNUAL GENERAL MEETING/DIVIDEND - RS 4 PER SHARE/ SPECIAL DIVIDEND - RS 2.5 PER SHARE,2233462.0,,28-Nov-2019 00:00:00,7.96,,,,,,,,,,,EQ,,M&amp;MFIN,2248.0,,7964.97,2233462.0,7.96
,12.96,356.62,356.1,23-JUL-19,17-JUL-19,356.1,,,,,2248.0,,,,,1.5,356.1,27-DEC-18,02-AUG-19,10559.33,Mahindra & Mahindra Financial Services Limited,Listed,100.0,29/11/2019 09:16:38,1574999198.91234,362.0,347.15,700759.0,31.38,15-JUL-19,5.0,2.0,484.0,,False,INE774D01024,357.6,284.85,N,,,347.15,0.42,346.1,No Band,320.5,391.7,ANNUAL GENERAL MEETING/DIVIDEND - RS 4 PER SHARE/ SPECIAL DIVIDEND - RS 2.5 PER SHARE,2233462.0,,28-Nov-2019 00:00:00,7.96,,,,,,,,,,,EQ,,M&amp;MFIN,2248.0,,7964.97,2233462.0,7.96
